part_number,name_en,name_cn,spec_cn,retail_price,fitment
405000-0141-02,rear brake assy,后碟刹总成,,56.1,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
405002-0012,rear brake lever,后刹制动把,,13.6,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-2"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
404000-0188-02,front brake assy,前碟刹总成,,54.4,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
404002-0038,front brake lever,前刹制动把,,13.6,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2-1"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
908007-0054,clamp,胶条卡箍,,3.4,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
401004-0019,spoke assy.,辐条,,3.4,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2-1"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
903017-0020,bolt,外六角对边螺栓 GB5783,,20.4,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""3-1"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
402004-0021,spoke assy.,辐条,,3.4,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2-1"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
903020-0035,screw,内六角花形半沉头螺栓,,3.4,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""9"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
551000-0145-01,frame assy.,车架总成/金工,,306,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
554000-0052,side stand,单撑,,25.5,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""8"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
101000-0663,engine assy,发动机总成,,484.5,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
102000-0101,carburetor,化油器,,51,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
105000-0045,air filter,丝网空滤器,,20.4,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
106001-0126,muffler pipe,消音管,,42.5,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
805001-0034-01,oil tank assy,油箱本体,,47.6,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
805003-0020,oil tank cap,塑料油箱盖,,6.8,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
805004-0028,oil tank switch,油箱开关,,13.6,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-2"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
801002-0012,Front Panel,前面板,,23.8,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
555000-0186,Front Panel bracket,前面板支架,,13.6,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
801002-0013,front mud guard,前泥板,,30.6,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
801002-0015,right cover,右护板,,34,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
701000-0056,seat,座垫总成,,37.4,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
801002-0014,left cover,左护板,,34,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
801002-0016,rear mid cover,后中护板,,34,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""7"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
801002-0017,rear mud guard,后小泥板,,17,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""8"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
908007-0034,Round buckle,圆形卡扣,黑色 K6-R,6.8,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""K4"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""16"", ""confidence"": ""high"", ""model_code"": ""K4""}]"
903001-0004,spring washer Φ8*13*2,弹垫 GB93-87,兰白锌 Φ8*13*2,3.4,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""K4"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""K4""}]"
903008-0032,nut,蝶形螺母,,3.4,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""16"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
802002-0063,sticker for 2024 Vin,22款KMB贴花 3M468胶,,34,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
802002-0064,padding cover fo 2024 Vin,22款KMB护套皮,,6.8,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
802002-0067,Sticker for 2025 Vin,,,34,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": null, ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
802002-0082,Sticker for 2026 Vin,,,34,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": null, ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
802002-0068,padding cover fo 2025 Vin,,,6.8,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": null, ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
802002-0083,padding cover fo 2026 Vin,,,6.8,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": null, ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
802013-0080,sticker,警告标贴,,8.5,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""KMB60-2"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""KMB60-2""}]"
602006-0004-02,right bar grip kit,右把套,黑色 含把芯,13.6,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TT140"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""13"", ""confidence"": ""high"", ""model_code"": ""TT140""}]"
602012-0002,throttle tube,油门座把芯,白色 越野,6.8,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TT140"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""TT140""}]"
602006-0005-02,bar grip,右把套,黑色 无把芯,6.8,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TT140"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TT140""}]"
602001-0004-01,steel handle bar,钢制方向把 成品,亚 黑 CRF3号 660*165 Ф12横杆,34,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": ""TS90 Parts Diagram"", ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
602011-0003,throttle perch,油门座,黑色 越野,17,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""K2"", ""section"": ""K2 EPA"", ""variant"": ""EPA"", ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""K2""}]"
602017-0002,handle bar pad,护套芯,黑色 开槽 Φ12*53*220 腾阳,8.5,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TT140"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""TT140""}]"
602014-0024,throttle cable,油门线 008,黑色 皮长740尾长123 配越野/DB70,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": ""TS90 Parts Diagram"", ""variant"": null, ""callout_no"": ""8"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
602006-0003-02,left bar grip kit,左把套,黑色,6.8,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TT140"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""14"", ""confidence"": ""high"", ""model_code"": ""TT140""}]"
404000-0168,front brake assy.,前小单碟刹,L=890 19款不折把/新1号支架Φ43H16/W450115/普通蹄块/白移管400 银色上下泵体/含油管夹,59.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
404008-0020,front brake bracket,前小单支架,银色 新1号支架Φ43H16/W450115,10.2,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
404007-0008,front brake pad,前小单蹄块,普通 华洋款长方形/单腰圆孔RH-7018,8.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1-2"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
404002-0008,unfold brake lever,不折制动把,抛光/银色氧化 2019款/配小泵H=9.5,22.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""1-3"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
903018-0012,bolt,外六角小头法兰螺栓 GB5787,兰白锌 M8*40 全螺纹,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EKMB"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""EKMB""}]"
405000-0003,rear brake,后小单碟刹,L=460 180盘Φ15-支架/普通蹄块 银色上下泵体/白塑支架,57.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
405009-0005,rear brake bracket,支架,配180盘Φ15,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
405008-0004,rear brake pad,后小单蹄块,普通,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""1-2"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
904002-0001,cotter pin 2*20,开口销 GB91,兰白锌 2*20 头部4.0,1.7,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""K2"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""K2""}]"
501000-0115,front right shock,前右减震器,黑 色 540mm 正减 Φ15孔 黑色上盖 配碟刹,62.9,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
501000-0114,front left shock,前左减震器,黑 色 540mm 正减 Φ15孔 黑色上盖 配碟刹,62.9,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
401005-0036,front tire/inner assy,前轮内外胎,2.50-12 含衬带/螺母/螺帽/越野P397 远星,51,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
401006-0047,front tire,前轮外胎,2.50-12 越野P397 远星,40.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
401007-0003,inner tube,前轮内胎,2.50-12含螺母/螺帽 远星,10.2,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1-2"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
401000-0008-02,front rim assy,前轮辋,黑钢圈 抛光毂 1.4*12,47.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
401004-0002,spoke,辐条,兰白锌 前12寸含帽,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""2-1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
401002-0008,steel  rim,钢圈,黑色 1.4*12,34,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""2-2"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
404001-0019,front brake disc,前碟刹花盘,Φ190/沉孔Φ16.8*H1.5 含M8*16螺栓*4,30.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
902001-0068,flat bushing,平衬套,兰白锌 Φ15*25*H27,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
901001-0027,flange axle,法兰轴,兰白锌 Φ15*195*M14*1.5mm,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
902001-0060,busher,平衬套,兰白锌 Φ15*25*H17,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""7"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
907001-0018,front hub bearing 6202RS/P6 CCXS,轴承,6202RS/P6 CCXS,8.5,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""K2"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""7"", ""confidence"": ""high"", ""model_code"": ""K2""}]"
402005-0036,rear tire/inner assy,后轮内外胎,3.00-10 含衬带/螺母/螺帽/越野P398 远星,51,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
402006-0038,rear tire,后轮外胎,3.00-10 越野P398 远星,40.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
402007-0019,inner tube,后轮内胎,3.00-10 含螺母/螺帽 远星,10.2,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1-2"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
402000-0010-02,rear rim assy,后轮辋,黑钢圈 抛光毂 1.85*10,51,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
402004-0001,spoke,辐条,兰白锌 后外10寸含帽 111mm,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""2-2"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
402002-0005,steel rim,钢圈,黑色 1.85*10,37.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""2-3"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
205001-0034,steel rear sprocket,钢制后链轮,黑色 420/39齿,25.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
205001-0006,new steel rear sprocket,钢制后链轮,黑色 420/39齿,25.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
405001-0017,rear brake disc,后碟刹花盘,Φ180 沉孔Φ16.8*H1.5 含M8*16螺栓*4,30.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
903017-0004,bolt,外六角对边螺栓 GB5783,黑电泳 M8*30+Φ8.2*5.5 S13,4.25,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TT140"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""9"", ""confidence"": ""high"", ""model_code"": ""TT140""}]"
901001-0033,flange axle,法兰轴,兰白锌 Φ15*225*M14*1.5mm,20.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""T2"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""T2""}]"
902001-0069,flat bushing,平衬套,兰白锌 Φ15*25*H28,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""9"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
902001-0071,flat washer,平衬套,兰白锌 Φ15*25*H33,6.8,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TT140"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""7"", ""confidence"": ""high"", ""model_code"": ""TT140""}]"
906004-0001,Sprocket lock piece,链轮锁片,电泳 弧型小Φ9 孔距65,6.8,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TT140"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""11"", ""confidence"": ""high"", ""model_code"": ""TT140""}]"
551000-0110-03,frame assy,车架总成,橘 黄 21款TS90 配一字/前限位/附梁打凹,374,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
903013-0024,screw,内六角圆柱头螺丝 MT,兰白锌 M8*40 J350016,6.8,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""K6-R"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""K6-R""}]"
903018-0024,flange bolt,外六角小头法兰螺栓 GB5787,兰白锌 M8*110 带凹槽 螺纹30 10.9级,17,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
553000-0058,steel swing arm,钢一字平叉,闪光银 325mm/尖锥压型/新款联体/新底脚,59.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
203004-0049,chain slider,导链套,黑色 170*45*70.5,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
203002-0001-06,alloy chain adjuster L/Φ15,铝制调链块,银 色 L型/Φ15单孔,13.6,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""K4"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""K4""}]"
203004-0036-01,chain guider,挡链器,黑色 KAYO 含衬套*2/螺丝*2/弹垫*2/平垫*2,25.5,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TT140"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""TT140""}]"
405010-0003,rear brake oil pipe clip,后碟刹油管夹,白色/注塑 2号管卡,3.4,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TT140"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""TT140""}]"
203000-0055,chain,链条,灰色 CHOHO 420H 90L,25.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""8"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
907001-0014,bearing,轴承,6200Z-10/P6 XG,13.6,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TD125"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""10"", ""confidence"": ""high"", ""model_code"": ""TD125""}]"
902001-0035,flat bushing,平衬套,兰白锌 Φ10.2*22.5*H16,8.5,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TD125"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""9"", ""confidence"": ""high"", ""model_code"": ""TD125""}]"
903020-0015,screw,内六角圆柱头组合螺丝 GB9074,兰白锌 M8*20 含弹垫/平垫,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""11"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
203004-0048,chain protective cover,链 罩,黑色 猎豹形 431*46.6*73.5 KAYO标,17,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
502000-0008,rear shock assy.,后减震总成,黑座白簧 L=270 Φ10簧 K-00,61.2,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
901001-0001,flange axle,法兰轴,兰白锌 Φ10*45*M10*1.25mm,6.8,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TT140"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""TT140""}]"
406001-0020-02,brake pedal,刹车踏板,闪光银 下走式 配单梁碟刹直杆脚架,22.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
407003-0002,brake spring,后制动拉簧,黑电泳 Φ13*Φ2.4*H24*10圈 单梁/两端弯钩,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
903002-0013,flat washer,平垫 GB97.1-85,兰白锌 Φ15*28*2.5,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
904002-0003,cotter pin,开口销 GB91,兰白锌 2.5*30,3.4,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TD125"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""TD125""}]"
101000-0622,engine assy,发动机总成,抛丸 YX90 下电 有棉 自离 420-14 钢缸全盖/含ZL57弯镀铬启67-2#变-两侧打KAYO填红漆,476,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
109001-0006-02,steel plate,钢制托盘,闪光银 215.5*131.2*104,30.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TS90"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TS90""}]"
506001-0011-02,foot rest plate,搁脚架,亚 黑 粗弯杆 圆头 配不锈钢脚踏,42.5,"[{""make"": ""Kayo"", ""year"": 2024, ""model"": ""TD125"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""16"", ""confidence"": ""high"", ""model_code"": ""TD125""}]"
102000-0003,carburetor,化油器,JK-PZ19,47.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
105000-0027,air filter,海绵空滤器,黑 色 Φ35含卡箍/防火网 直脖 半圆形,22.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""TSD110"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""TSD110""}]"
